source,summary,model
"Last?week she was barely showing 每 but Demelza Poldark is now the proud mother to the show＊s latest addition. Within ten minutes of tomorrow night＊s episode, fans will see Aidan Turner＊s dashing Ross Poldark gaze lovingly at his new baby daughter. As Sunday night＊s latest heartthrob, women across the country have voiced their longing to settle down with the brooding Cornish gentleman 每 but unfortunately it seems as if his heart is well and truly off the market. Scroll down for video . Last week she was barely showing 每 but Demelza Poldark is now the proud mother to the show＊s latest addition . He may have married his red-headed kitchen maid out of duty, but as he tells her that she makes him a better man, audiences can have little doubt about his feelings. What is rather less convincing, however, is the timeline of the pregnancy. With the climax of the previous episode being the announcement of the pregnancy, it is quite a jump to the start of tomorrow＊s instalment where Demelza, played by Eleanor Tomlinson, talks about being eight months pregnant. Just minutes after 每 once again without any nod to the passing of time 每 she is giving birth, with the last month of her pregnancy passing in less than the blink of an eye. With the climax of the previous episode being the announcement of the pregnancy, it is quite a jump to the start of tomorrow＊s instalment where Demelza, played by Eleanor Tomlinson, talks about being eight months pregnant . As Sunday night＊s latest heartthrob, women across the country have voiced their longing to settle down with Poldark 每 but unfortunately it seems as if his heart is well and truly off the market . Their fast relationship didn't go unnoticed by fans. One posted on Twitter: ＆If you are pregnant in Poldark times expect to have it in the next 10 minutes＊ It is reminiscent of the show＊s previous pregnancy that saw Elizabeth, another contender for Ross＊s affection, go to full term in the gap between two episodes. This didn＊t go unnoticed by fans, who posted on Twitter: ＆Poldark is rather good, would watch the next one now. Though if you are pregnant in Poldark times expect to have it in the next 10 minutes.＊","In the upcoming episode of *Poldark*, Demelza (Eleanor Tomlinson) rapidly progresses from announcing her pregnancy to giving birth, compressing eight months into minutes, which fans humorously criticized for its unrealistic timeline. Ross Poldark (Aidan Turner) reaffirms his devotion to Demelza, solidifying their relationship. This mirrors a prior rushed pregnancy storyline involving Elizabeth, sparking social media jokes about the show＊s abrupt handling of pregnancies (e.g., Twitter comments like ※expect to have [the baby] in the next 10 minutes§). Ross＊s status as a heartthrob remains, though his romantic focus stays on Demelza.",deepseek/deepseek-r1
"Boss Nigel Pearson has urged Leicester to keep their cool and ignore their relegation rivals. The Foxes host Swansea on Saturday just three points from safety in the Barclays Premier League after back-to-back wins. Last week's 3-2 win at West Brom handed them a survival lifeline, although they remain bottom of the table. Jamie Vardy scored an injury-time winner against West Bromwich Albion on Saturday to improve his side's slim chance of Premier League survival . Vardy celebrates in front of the travelling away fans after hitting the winner against West Brom . But after their mini-revival, Pearson wants his side to remain focused on their own jobs. 'I'm very wary of people flipping the emphasis,' he said. 'Our future is in our own hands and if we go into the last game with that we have given ourselves a realistic chance. 'We need to make sure our own run-in is what we want it to be. Leicester manager Nigel Pearson has urged his players to focus on their own job and not worry about their relegation rivals during run-in . 'It's helpful that other teams are being dragged into it. People are continually adjusting the form table and their predictions. 'We can't get involved in anything apart from being involved in our own games that may change people's perceptions. 'It's great when results go your way but they only help if you've done your own job. 'It's important for us to be in touch. One of the potential problems we have to deal with is people are now overly optimistic.'","Leicester City manager Nigel Pearson emphasizes focusing on their own remaining games rather than relegation rivals, despite consecutive wins〞including a 3-2 victory over West Brom with Jamie Vardy＊s injury-time winner〞lifting them to within three points of safety. Though still bottom of the Premier League, Pearson stresses controlling their fate by maintaining focus, avoiding external distractions, and not becoming overly optimistic, acknowledging other teams' struggles as a secondary benefit.",deepseek/deepseek-r1
"(CNN)A North Pacific gray whale has earned a spot in the record books after completing the longest migration of a mammal ever recorded. The whale, named Varvara, swam nearly 14,000 miles (22,500 kilometers), according to a release from Oregon State University, whose scientists helped conduct the whale-tracking study. Varvara, which is Russian for ""Barbara,"" left her primary feeding ground off Russia's Sakhalin Island to cross the  Pacific Ocean and down the West Coast of the United States to Baja, Mexico. Varvara's journey surpassed a record listed on the Guinness Worlds Records website. It said the previous record was set by a humpback whale that swam a mere 10,190-mile round trip between the ""warm breeding waters near the equator and the colder food-rich waters of the Arctic and Antarctic regions."" Records are nice, but Bruce Mate, the lead author of the study, thinks the long trip might say more about the whale than just its ability to swim. During her 14,000-mile journey, Varvara visited ""three major breeding areas for eastern gray whales,"" which was a surprise to Mate, who is also the director of the Marine Mammal Institute at Oregon State University. ""For her to go to Mexico,"" Mate said, ""It's pretty strong evidence that it's where she's from."" Varvara was thought to be an endangered western whale, but her ability to ""navigate across open water over tremendously long distances is impressive,"" he said in the release, which could mean that some western gray whales are actually eastern grays. With only 150 western gray whales believed to be in existence, that number might be even lower. ""Past studies have indicated genetic differentiation between the species, but this suggests we may need to take a closer look,"" Mate said. Fourth baby orca born this season .","A North Pacific gray whale named Varvara set a record for the longest mammal migration, swimming approximately 14,000 miles from Russia＊s Sakhalin Island to Baja, Mexico, surpassing the previous Guinness record of 10,190 miles held by a humpback whale. Researchers from Oregon State University, led by Bruce Mate, tracked her journey, noting she visited three eastern gray whale breeding areas〞suggesting she may originate from the eastern population rather than the endangered western group (estimated at 150 individuals). This challenges prior genetic distinctions between eastern and western gray whales, implying potential overlaps and the need for re-evaluation of conservation classifications.",deepseek/deepseek-r1
"Residents on the east coast of Japan's Hokkaido Island had an unexpected change of scenery this morning after 1,000ft of seabed was forced to the surface overnight. The extra stretch of coastline on Shiretoko Peninsula near the town of Rausu has risen as high as 50ft from the sea surface in some places, exposing what used to be the ocean floor. Geologists believe the emergence is a result of a landslide nearby,?when melting ice and snow caused a section of land to drop, pivoting the underwater area into the air. Scroll down for video . Surprise! A man stands on a clump of land that emerged overnight along the coastline of Shiretoko Peninsula near Rausu, on Hokkaido Island, Japan . 'An aerial survey indicates that the land swell happened as a result of a landslide', local researcher Yoshinori Yajima told the Hokkaido Shimbun newspaper after he flew over the area Monday. The mass, which has risen some 30 to 50ft above sea level, ?measures roughly 1,000- 1,640ft long, and 100ft wide, a town official said. The new stretch of land came as a complete surprise to the locals, as there was no indication of the land movement overnight . 'The local residents said they didn't hear any sounds and there were no tremors (when the land appeared),' said Katsuhiro Tanaka, the president of the Rausu Fisheries Cooperative Association, who viewed the expanded coastline the day it was discovered. The mass, which has risen some 50ft above sea level, measures roughly 1,000- 1,640ft long, and 100ft wide . No clue: Local residents on Hokkaido island say they felt no tremors overnight, or heard any sounds to indicate movement, and that the landmass just appeared . New view: Local residents from Rausu, Hokkaido, take a look at the newly emerged coastline . Authorities have not been able to determine exactly when the landslide hit the snow-covered coastline, but they do not expect it to expand further, said an official at the central government's Hokkaido Regional Development Bureau. 'Our understanding is that this is different from earthquakes,' he told AFP. It is not believed to be related to the 7.8magnitude earthquake that struck the Kathmandu Valley on Saturday, which so far has claimed more than 4,000 lives. Under the sea: Marine organisms such as seaweed and sea urchins are still attached to the land mass .","A sudden geological event on Hokkaido Island's Shiretoko Peninsula near Rausu exposed up to 1,640 feet of seabed, rising 50 feet above sea level. Geologists attribute this to a landslide triggered by melting ice/snow, which caused land to drop and pivot the seabed upward. Locals reported no tremors or sounds during the overnight occurrence. Authorities confirmed it is unrelated to Nepal＊s recent earthquake and expect no further expansion. Marine life like seaweed and sea urchins remain visible on the newly emerged landmass.",deepseek/deepseek-r1
"Gregory van der Wiel has denied claims that he is set to leave Paris Saint-Germain in the summer and instead reiterated his 'love' for the club. The Dutchman recently had a falling out with his boss Laurent Blanc after the decision to drop the full back for the Champions League clash against Chelsea. But Van der Wiel insists he's happy in Paris and is making no plans to leave the Ligue 1 side. Gregory van der Wiel (right) says he's not interested in leaving Paris Saint-Germain in the summer . The full back had a recent spat with the manager Laurent Blanc (right) after he was dropped . He told L'Equipe: 'I am genuinely happy at PSG. 'I love the club, I love the city and I love my team-mates. Everything is perfect for me here. 'There is absolutely no reason for me to leave. I want to sign a new contract. 'If the coach decides not to play me, that is his decision. But I am ready whenever I am called upon.' The Parisians continue to be linked with Barcelona star Dani Alves, so it remains to be seen whether Van der Wiel has any choice in staying with the club. Dani Alves (left) is being linked with a move to the French champions and Van der Wiel could be sold .","Gregory van der Wiel denied rumors of leaving Paris Saint-Germain (PSG) despite a recent dispute with manager Laurent Blanc after being benched for the Champions League match against Chelsea. He affirmed his commitment to PSG, stating he loves the club, city, and teammates, and wishes to renew his contract. However, PSG＊s rumored interest in signing Barcelona＊s Dani Alves could jeopardize Van der Wiel＊s future at the club, even if he intends to stay.",deepseek/deepseek-r1
"Carlos Tevez has been told to terminate his contract with Juventus to complete a return to his former club Boca Juniors in Argentina. The former Manchester City striker's deal with the Serie A champions does not expire until the end of next season but he has reportedly told the club he wishes to leave this summer. Boca have confirmed they are close to completing a deal for the 31-year-old, but club?president Daniel Angelici has stressed that Tevez must terminate his contract with the Italians first. Carlos Tevez has shocked Juventus by suggesting he wants to leave the club this summer . Tevez is on course to win a second Serie A title with the Old Lady and still has a shot at European glory . 'We must be careful', Angelici told TYC Sports. 'We know that he wants to return to Argentina with Boca Juniors but he must first terminate his contract with Juventus, which runs until 2016. 'We are close to sealing his return and it will be done shortly.' The Argentina international joined Boca's youth academy in 1996 and went on to score 26 league goals in 76 appearances for the club before joining Corinthians in 2005. Although Juventus are reluctant to lose the league's top scorer - Tevez has netted 17 times this season - they have accepted the player wants to leave and have already started identifying potential replacements. Italian paper Tuttosport claims the 31-year-old has already decided to leave the club this summer . Tevez has always said he intends to finish his career back at his first club Boca Juniors in Argentina . Carlos Tevez ? ? ? ? ? ? ? ? ? ? ? ? ? ? 17 . Mauro Icardi ? ? ? ? ? ? ? ? ? ? ? ? ? ? ?16 . Jeremy Menez ? ? ? ? ? ? ? ? ? ? ? ? ?16 . Tevez's international manager Tata Martino claims any potential move would have no bearing on the player's Argentina future. 'The most important thing for me is that Tevez continues to play as well as he is at the moment,' Martino told Italian paper Tuttosport. 'It doesn't matter whether that's at Juventus or Boca. Only he'll know what's best for his future. 'I will say this, though: Juventus are a great team, but so are Boca Juniors. It wouldn't be a step down.'","Carlos Tevez seeks to terminate his contract with Juventus (expiring 2016) to return to Boca Juniors, his boyhood club where he began his career (1996每2005). Boca's president confirms negotiations but stresses Tevez must resolve his Juventus exit first. Despite being Serie A's top scorer (17 goals this season), Juventus acknowledges his desire to leave and is seeking replacements. Tevez has long intended to retire at Boca, and Argentina's manager Tata Martino asserts a move would not harm his international prospects, noting both clubs are prestigious. A transfer is reportedly imminent.",deepseek/deepseek-r1
"Porto's defence was not the only thing to be ripped apart at the Allianz Arena on Tuesday night as a jubilant Bayern Munich manager Pep Guardiola was left with a hole in his trousers. Guardiola managed to tear the left trouser leg of his grey garments during an incredibly exciting night for Bayern, who led their opponents 5-0 at half-time. The Spanish tactician's underwear was on show after the incident, and he joked after the Champions League clash: 'I'll have to buy new ones for the next match.' Bayern Munich manager Pep Guardiola ripped a hole during the Champions League match in Germany . Guardiola's underwear were on show after the Bayern boss managed to rip a small hole in his trousers . The excitement of a 6-1 win against Porto appeared to get the better of Guardiola's left trouser leg . Away from Guardiola's clothing, Bayern managed to book a place in the Champions League semi-finals thanks to goals by Thiago Alcantara, Jerome Boateng, Thomas Muller, Xabi Alonso and a brace from Robert Lewandowski. Porto went into the match with a two-goal lead following their 3-1 victory in Portugal, however they were swept aside by the Bundesliga giants. Bayern's European rivals will be running scared after their outstanding display as Guardiola's side showed they were a cut above a shell-shocked Porto side. Guardiola's trousers before the rip (left) and after the rip (right) during Bayern Munich's 6-1 victory over Porto . The former Barcelona boss (far right) also decided to ditch his suit blazer during the latter stages of the match . Bayern Munich celebrate at the final whistle after booking a place in the semi-finals of the Champions League .","Bayern Munich overturned a 3-1 first-leg deficit to defeat Porto 6-1 (7-4 aggregate) in the Champions League quarter-finals, advancing to the semi-finals. Key scorers included Thiago Alcantara, J谷r?me Boateng, Thomas M邦ller, Xabi Alonso, and Robert Lewandowski (twice). Manager Pep Guardiola humorously tore his trousers during the match, exposing his underwear, prompting a joke about needing new ones. Guardiola removed his blazer later in the game. Bayern＊s dominant performance highlighted their status as serious contenders, overwhelming Porto＊s initial two-goal advantage.",deepseek/deepseek-r1
"Ten people, including four children, have been involved in a multi-vehicle crash in Brisbane's west. Three vehicles collided on the Brisbane Valley Highway, 2km south of Fernvale, on Wednesday afternoon. A 40-year-old man with chest and shoulder injuries and a five-year-old boy with chest pain were the first patients flown out by rescue helicopter. They've been taken to the Princess Alexandra Hospital in Brisbane. Shortly after, a 27-year-old woman with arm injuries and a six-year-old girl suffering from abdominal pain were also being flown out. The three car pileup happened at?on the Brisbane Valley Highway, near Fernvale . Six others - including an infant and two young girls - have been taken to Ipswich Hospital with minor injuries or for further assessment.?A man has also suffered hand lacerations and two females escaped injuries. The affected stretch of the highway has been closed off, with diversions in place south of Fernvale. The Courier-Mail reports that earlier emergency crews found one person trapped inside their vehicle and Queensland Fire and Rescue crews used hydraulic cutting gear to free them. The Rescue 500 helicopter then landed at the scene and airlifted a number of patients to hospital. Police said the highway would be closed for a few hours with diversions in place south of Fernvale.","A multi-vehicle crash involving three cars occurred on Brisbane Valley Highway near Fernvale, injuring ten people, including four children. Severe cases included a 40-year-old man (chest/shoulder injuries) and a 5-year-old boy (chest pain) airlifted to Princess Alexandra Hospital, followed by a 27-year-old woman (arm injuries) and a 6-year-old girl (abdominal pain). Six others, including an infant and two girls, were taken to Ipswich Hospital with minor injuries. Emergency crews freed a trapped person using hydraulic tools, and Rescue 500 helicopters airlifted patients. The highway was closed for hours, with diversions south of Fernvale.",deepseek/deepseek-r1
"It's crunch time this weekend at the top of the Premier League as second-placed Arsenal host table toppers Chelsea - and it appears one star of the former's team cannot wait for the ever-nearing kick-off. Arsenal playmaker Mesut Ozil can now countdown the minutes until the 4pm encounter on Sunday with his brand new Apple Watch. The 26-year-old was the beneficiary of the timepiece - which ranges in price from ㏒299 to ㏒13,500 - as he visited an Apple store on Thursday afternoon. Arsenal midfielder Mesut Ozil (right) took to Instagram to show off his new Apple Watch on Thursday . Ozil compared his watch to TV character Michael Knight in the hit action show Knight Rider . Ozil took to Instagram to share his joy at his latest gift, comparing his gadget to former TV character Michael Knight from the hit action show Knight Rider. Accompanied with the caption: 'Excited about my new cool gadget! It's just like Michael Knight's watch, but a real one #knightrider #phone,' Ozil appears in awe of the device - which will be released on general sale on Friday. The midfielder, who has scored four goals in 25 matches for the Gunners in all competitions this season, is expected to start for Arsene Wenger's side at the Emirates Stadium on Sunday. Arsenal trail the Blues by 10 points with six league games remaining - but have been boosted by the return of Jack Wilshere. Wilshere was on the bench in their FA Cup semi-final win over Reading at Wembley on April 18 after five months out through injury. And club legend Ray Parlour believes that the 23-year-old＊s fitness record is the one thing holding him back from reaching his undoubted potential in the Arsenal midfield. ＆I think he＊s the future of the club,＊ said Parlour. ＆I think if he stays fit, he＊s a quality player, there＊s no doubt about that. Jack Wilshere (centre) was on the bench for Arsenal's FA Cup semi-final against Reading . Ray Parlour, who won three championships with Arsenal, has backed Wilshere to be the future of the club . ＆The way he goes past players, the way he links up with people, I definitely think he＊s got a big role to play. ＆But again, the big question mark is can he stay fit? Look at Abou Diaby. Diaby＊s a terrific player. But look at him, the injuries the last few years. ＆The big burning question is can Wilshere have a full season without being injured for a long period, like he hasn＊t had for the last three or four seasons.＊ Wilshere, the England international, is pictured in training for Arsenal at London Colney last week .","Arsenal faces Chelsea in a crucial Premier League match, with second-placed Arsenal trailing leaders Chelsea by 10 points. Ahead of the clash, Arsenal＊s Mesut ?zil showcased his new Apple Watch on Instagram, comparing it to a gadget from *Knight Rider*. Meanwhile, midfielder Jack Wilshere＊s return from injury (after a five-month absence) has boosted the team, though club legend Ray Parlour emphasized that Wilshere＊s ability to stay fit is critical to fulfilling his potential, citing concerns similar to injury-plagued former player Abou Diaby. Parlour hailed Wilshere as pivotal to Arsenal＊s future if he maintains fitness.",deepseek/deepseek-r1
"Referee Mark Clattenburg has been named to take charge of the Manchester derby on Sunday, despite having sent off three players from United and City this season. City captain Vincent Kompany was dismissed for two bookable offences during Belgium's narrow 1-0 defeat of Israel in their Euro 2016 qualifier on March 31, meaning he is now suspended for the match against Wales in June. And, although Clattenburg has been accused of favouring Louis van Gaal's side in the past, it's worth noting that the 40-year-old has only sent off two players season in the Premier League this season and both have been from United; Tyler Blackcett in the 5-3 defeat by Leicester and Luke Shaw in the 1-1 draw with West Ham. Mark Clattenburg will officiate the Manchester derby between United and City at Old Trafford . The English referee sent off City and Belgium captain Vincent Kompany during the international break . Leicester 5-3 Manchester United . West Ham 1-1 Manchester United . Manchester United 3-0 Tottenham . Manchester City 3-1 West Ham . Liverpool 2-1 Manchester City . Chelsea 1-1 Manchester City . Clattenburg has courted controversy during his career but is generally regarded as one of the Premier League's leading referees alongside Michael Oliver. The champion's shock 2-1 loss to Crystal Palace on Monday saw United move a point above their local rivals to add extra incentive for both sides ahead of the derby at Old Trafford, which could ultimately decide who finishes second behind expected winners Chelsea. While Manuel Pellegrini's side have struggled since the turn of the year, turning from title challengers to fourth place chases, United are coasting on confidence having won their last five consecutive league games. Clattenburg will be joined on Sunday by assistants Simon Beck and Jake Collin, while Jonathan Moss will serve as the fourth official. Clattenburg has shown only two red cards this season, both to United players including Luke Shaw (centre)","**Summary:**  
Referee Mark Clattenburg will officiate the Manchester derby at Old Trafford, despite having sent off three players from United and City this season. He dismissed City captain Vincent Kompany during a Euro 2024 qualifier (suspending him for Belgium＊s next match) and issued red cards to United＊s Tyler Blackett and Luke Shaw in Premier League games. United enter the derby on a five-game winning streak, while City have slumped to fourth. The match could decide second place behind Chelsea, with United currently one point ahead. Clattenburg, a top-tier but occasionally controversial referee, will be assisted by Simon Beck, Jake Collin, and fourth official Jonathan Moss.",deepseek/deepseek-r1
"Outspoken MP Bob Katter has risked being drawn into a race row after accusing the Queensland Government of believing embattled MP Billy Gordon was 'a little black puppet on a string'. In a bizarre statement on his party's website, Mr Katter said the Government believes Mr Gordon would quit after he was recently accused of domestic violence - and later admitted to his criminal past. Mr Katter, federal MP for Kennedy, is of Lebanese descent. He said he's been personally subjected to racist attitudes from both major parties in the past, and that he sympathised with Mr Gordon's position. Federal MP Bob Katter, who released a statement today accusing the Queensland Government of assuming Billy Gordon would quit after he was recently accused of domestic violence . Mr Gordon was forced to quit the Queensland Labor Party last week in the wake of being accused of domestic violence and withholding his criminal history from Premier Annastacia Palaszczuk . He announced on Wednesday he will remain in the Queensland parliament as an independent, throwing the Government, which holds a razor-thin majority, into chaos. 'In the last two cases where this occurred in the federal parliament, there was never any question raised about the member resigning. So why was it assumed here that Billy Gordon would resign?' Mr Katter's statement reads. 'I can't help but think that the Queensland Government thought they had a little black puppet on a string. Mr Gordon, who ?was forced to quit the Queensland Labor Party last week in the wake of being accused of domestic violence and withholding his criminal history . The statement has sparked criticism on social media, with users questioning his terminology. 'Irrespective of his weird use of the term 'black puppet' it's kinda odd how Bob Katter is speaking on Billy Gordon's behalf' wrote Benjamin James. Not that John wrote: 'Wow, Bob Katter calls Billy Gordon, 'black puppet on a string' and the lefty loons stay silent. What if Abbott had said it?' The statement has sparked criticism on social media, with some users questioning his terminology . Mr Katter has since defended the statement, saying he used the term black puppet in light of his personal experiences . Mr Katter has since defended the statement, saying he used the term black puppet 'because I'm dark and I come from Cloncurry.' 'I can understand and I can identify with the attitudes that these people have and I'm going to call it for what it is,' he said. 'I deliberately put that comment in with a forethought, because I think they deserve a belting for the racial overtones.' Mr Katter used federal MPs Tony Windsor and Rob Oakeshott as examples of independents becoming puppets for the government and sacrificing their independence, but he vowed Mr Gordon would not make that mistake.","**Summary:**  
Federal MP Bob Katter sparked controversy by accusing the Queensland Government of treating embattled MP Billy Gordon as a ""little black puppet on a string,"" implying racial condescension. Gordon, accused of domestic violence and concealing his criminal history, resigned from the Labor Party but remained in parliament as an independent, destabilizing the government's slim majority. Katter defended his racially charged metaphor, citing his own experiences with racism as a Lebanese-Australian, and criticized the government's assumption that Gordon would resign. Social media backlash questioned Katter's terminology, while he compared Gordon's situation to other independents he claimed became government ""puppets,"" vowing Gordon would resist this.",deepseek/deepseek-r1
"A teenager from Illinois is tackling her disability head-on and attempting to positively influence thousands of others by dancing. Dayna Dobias, 19, from Downers Grove was born with cerebral palsy, but she hopes to inspire others with her enthusiastic videos. 'I've gotten bullied because of it and I get people all the time, staring and so it's definitely made things difficult in my life,' Dayna told Daily Mail Online. Scroll down for video . Challenging: Dayna Dobias, 18, is hoping change the way people with disabilities are represented by the television, film and the fashion industry . Her hope is that the video not only entertains, but inspires others to think before judging. The teenager says her motivation for creating the video was to counteract stereotypes held by people over certain disabilities. 'People tend to think that because I have cerebral palsy I cannot do anything and that I am so different from everyone else, when in reality I am pretty much just the same as everyone else,' she added. 'I might do things a little bit differently than most people, but that doesn't mean that I should be treated differently.' This is one of several videos that Dayna has created. Last year the teenager produced another dancing clip with her strutting her stuff to Taylor Swift's Shake It Off. Inspirational: The Illinois teen who suffers from cerebal palsy has created a video in which she dances . Don't judge: People tend to think that because I have cerebral palsy I cannot do anything and that I am so different from everyone else, when in reality I am pretty much just the same as everyone else,' Dayna says . 'People like to define me based on disability. People just look at me and think, oh that's just the girl with cerebral palsy,' she said. 'I would like people to look past that and be like, oh she's just one of us.' Dayna says she wanted to turn any negativity that might be held over her disability into something positive and hopefully inspire others, or at the very least raise a smile. 'When I was first diagnosed with cerebral palsy, doctors warned my parents that I may never walk, but here I am dancing! I drive, I go to college, I do things like every other 19-year-old,' she says. The teen has now begun to do some motivational speaking at a couple of local schools. Confident: Dayna has now taken up motivational speaking and has visited several schools in the Chicago area .","Dayna Dobias, a 19-year-old from Illinois with cerebral palsy, creates dance videos to challenge stereotypes and inspire others. Despite facing bullying and societal judgment, she emphasizes that her disability doesn＊t define her, highlighting her ability to drive, attend college, and live like any teenager. Her videos, including one set to Taylor Swift＊s *Shake It Off*, aim to promote inclusivity and shift perceptions about disabilities. Dayna also engages in motivational speaking at local schools, sharing her journey of overcoming doctors＊ early doubts about her ability to walk. Her core message: people with disabilities deserve recognition beyond their condition.",deepseek/deepseek-r1
"MLS side Orlando City are the latest club to have expressed interest in Manchester United misfit Javier Hernandez. The Mexico international would be a huge commercial draw for the Florida-based franchise who are coached by former Everton and Manchester City striker Adrian Heath. Orlando have a huge Latin-American fanbase and made enquiries last week about the prospect of a deal. Javier Hernandez is linked with a move to Orlando City after enduring a tough time on loan at Real Madrid . Orlando have a big Latin-American fanbase and Kaka is the captain of the MLS side . Hernandez would be a popular arrival with Orlando supporters but eight European sides are also interested . Hernandez has cut a frustrated figure during his loan spell at Real Madrid this season but still has plenty of interest from other Premier League and European sides. Southampton, Stoke, West Ham and Everton are all interested with United willing to sell for around ㏒8million. Wolfsburg, AC Milan, Lazio and Inter Milan are also keen on the 26-year-old who has one year left on contract. United, meanwhile, have made a revised contract offer to teenage prospect Andreas Pereira. Manchester United have made a revised contract offer to 19-year-old Andreas Pereira (right) Periera (left) has a host of clubs across Europe interested in signing him if he does not agree terms at United . Paris St Germain, Juventus, PSV Eindhoven and Feyenoord have all made contact with the midfielder's father Marcos after the 19-year-old rejected United's opening offer. Pereira was on the bench against Aston Villa on Saturday.","Orlando City, an MLS team with a large Latin-American fanbase and coached by Adrian Heath, has expressed interest in signing Manchester United's Javier Hern芍ndez, who struggled on loan at Real Madrid. Hern芍ndez, a commercial asset, also attracts interest from eight European clubs, including Premier League sides Southampton, Stoke, West Ham, and Everton, as well as Wolfsburg, AC Milan, Lazio, and Inter Milan. United seeks around ㏒8 million for the 26-year-old, who has one year left on his contract.  

Meanwhile, Manchester United has submitted a revised contract offer to 19-year-old midfielder Andreas Pereira, who rejected their initial proposal. European clubs like PSG, Juventus, PSV Eindhoven, and Feyenoord have contacted his father, Marcos, about a potential move. Pereira was recently on the bench for United＊s match against Aston Villa.",deepseek/deepseek-r1
"A gang of at least three people poured gasoline on a car that stopped to fill up at California gas station early on Saturday morning and set the vehicle on fire. The driver of the car, who has not been identified, said he got into an argument with the suspects while he was pumping gas at a 76 Station in South Los Angeles around 12:15am on Saturday. The group covered his white Dodge Charger in gasoline and lit it ablaze while there were two passengers inside. Scroll down for video . Firefight:?At least three people poured gasoline on a car and lit it on fire at a South Los Angeles gas station . Explosive situation: Group covered the white Dodge Charger and lit it while there were two passengers inside . Burnt out: The passengers and the driver were not hurt during the incident but the car was completely ruined . The man's grandmother said the fire was lit after the suspects attempted to carjack her grandson, ABC 7 reported. She said: 'He said he was pumping gas and some guys came up and asked for the car. 'They pulled out a gun and he took off running. 'They took the [gas] tank and started spraying.' No one was injured during the fire, but the car's entire front end was torched, according to?NBC Los Angeles. The Los Angeles County Fire Department is investigating the incident as an arson and the suspects remain at large. Surveillance video of the incident is being used in the investigation. Heated argument: Before the fire, which occurred at 12:15am on Saturday, the suspects tried to carjack the man . Hot case: The Los Angeles County Fire Department is investigating the incident at the LA 76 station as an arson .","**Summary:**  
Early Saturday morning at a South Los Angeles gas station, three suspects attempted to carjack a driver pumping gas, leading to an argument. They sprayed his white Dodge Charger with gasoline from the pump and set it ablaze while two passengers were inside. All occupants escaped unharmed, but the car was destroyed. The Los Angeles County Fire Department is investigating the arson, with surveillance footage aiding the inquiry. The suspects remain at large.",deepseek/deepseek-r1
"A southern Iowa chiropractor accused of accepting sex as payment for his services and performing exorcisms on patients has surrendered his state license. The Iowa Board of Chiropractic released a report Wednesday detailing charges against Charles Manuel, of Lamoni. Manuel signed an agreement last month admitting his misdeeds and pledging not to apply for reinstatement for at least 10 years. Patient satisfaction: A chiropractor in Iowa has surrendered his license to practice and admitted to swapping services for sex and performing exorcisms on some patients. Nonetheless, he's received outstanding evaluations for patient satisfaction on HealthGrades.com . The agreement requires that Manuel prove any circumstances surrounding the revocation of his license no longer exist before he can resume practicing chiropractic in the state. Those circumstances included bartering sex for services with some patients. Manuel also recommended that patients stop taking medication he prescribed to them. A woman who answered a call to Manuel's home from the Des Moines Register declined to comment on the case. A woman at his former practice said he hadn't worked there for some time. A Lamoni address listed on the Yelp page for Manuel's practice appears to be a home on a residential street. While Maneul has received just three patient survey responses on HealthGrades.com, those responses were quite positive. The disgraced chiropractor received a perfect five out of five stars in patient satisfaction. Strange practice: Charles Manuel, who admitted wrongdoing to the?Iowa Board of Chiropractic, listed his practice's addresses on this residential street in the small agricultural town of Lamoni in southern Iowa .","Charles Manuel, a chiropractor in Lamoni, Iowa, surrendered his license after admitting to exchanging chiropractic services for sex, performing exorcisms on patients, and advising them to stop prescribed medications. The Iowa Board of Chiropractic mandated he prove resolution of these issues before potential reinstatement, with a minimum 10-year ban. Despite these violations, Manuel received perfect patient satisfaction scores (5/5 stars) on HealthGrades.com from three reviews. His practice was linked to a residential address in Lamoni, and colleagues confirmed he had not worked there recently.",deepseek/deepseek-r1
